ign,ACS,K,D,A,HS%,Ace
Tiktok Cypher#3762,27,2,16,0,0.14,0
WadoHeck#3255,279,23,18,5,0.17,0
,,,,,,
,,,,,,
G1,1017,,,,,
Sigma Trash,ACS,K,D,A,HS%,ace
ST Sayonara#bruuh,202,8,15,2,0.29,0
ST razmac#0013,170,9,13,1,0.17,0
ST Bungamia#unga,129,4,14,4,0.19,0
ST Mechalord#KDR0,93,4,15,1,0.05,0
warDamn#robi,69,3,14,2,0.06,0
Chakri Lagbe,ACS,K,D,A,HS%,ace
AceX#bojji,304,17,4,9,0.33,0
RaKuSh0na#AHAH,290,17,8,2,0.30,1
SheikhMujib#1975,237,13,6,8,0.20,0
ch1orine#Ctrl,232,12,6,3,0.22,0
Five#thug,188,12,4,3,0.14,0
G6,,,,,,
,1008,,,,,
Sigma Trash,ACS,K,D,A,HS%,Ace
ST Bungamia#unga,169,10,16,7,0.15,0
ST Mechalord#KDR0,205,14,17,3,0.17,0
ST razmac#0013,199,16,17,4,0.22,0
ST Sayonara#bruuh,209,12,15,10,0.16,0
warDamn#robi,226,18,14,2,0.20,0
MadNoobs,ACS,K,D,A,HS%,Ace
Daichi#1998,252,19,16,2,0.36,0
embersaw#surf,398,30,15,1,0.27,2
Limbo X016#2338,114,8,13,10,0.11,0
NEWT#5965,177,14,12,4,0.20,0
pinocchio#06014,114,8,14,5,0.24,0
,1055,,,,,
,,,,,,
,,,,,,
G10,,,,,,
,428,,,,,
Vengeance,ACS,K,D,A,HS%,Ace
Nazmul4532#7622,49,2,12,1,0.00,0
SEN coLd#2402,138,5,14,0,0.17,0
TamimAfnan148#6212,12,0,13,1,0.25,0
Xe9o9#2640,150,6,13,0,0.07,0
Zappyy#9596,79,2,13,2,0.09,0
Hum Heke Uthlam,ACS,K,D,A,HS%,Ace
BonKerZ#1963,287,14,0,1,0.17,0
feral#ghoul,382,18,3,3,0.17,2
Ice Cooker#5410,254,12,3,2,0.11,0
OwO Brother#7980,343,16,5,4,0.24,0
swashbuckler#1074,86,5,4,4,0.20,0
,1352,,,,,
,,,,,,
,,,,,,
G17,,,,,,
,1242,,,,,
The Boyz,ACS,K,D,A,HS%,Ace
d1ve#toxic,299,18,12,5,0.13,0
Kola#POP,172,10,14,8,0.26,0
Luciferplays#6137,292,21,7,1,0.40,0
MrFahrenheit#7926,155,9,12,5,0.21,0
Z3ROX1DE#KINGG,324,22,10,4,0.23,1
God Of Whiffs,ACS,K,D,A,HS%,Ace
Alucard#kappa,185,12,16,4,0.15,0
